token,date_in,buy_price,date_out,sell_price,profit_percentage
ENJUSDT,2024-12-19,0.221,2025-01-14,0.1933,-12.53393665158371
EOSUSDT,2022-05-11,1.409,2022-07-19,1.077,-23.562810503903485
EOSUSDT,2022-10-10,1.034,2022-11-04,1.196,15.667311411992255
EOSUSDT,2022-11-08,0.964,2022-12-07,0.989,2.5933609958506247
EOSUSDT,2023-04-19,1.1,2023-07-01,0.782,-28.909090909090914
EOSUSDT,2023-08-16,0.632,2023-10-01,0.604,-4.430379746835447
EOSUSDT,2024-04-13,0.7316,2024-05-20,0.8519,16.44341170038272
EOSUSDT,2024-06-07,0.7284,2024-08-23,0.5563,-23.627127951674908
ETHUSDT,2022-05-11,2084.99,2022-07-16,1355.85,-34.97091113146825
ETHUSDT,2022-11-09,1102.73,2023-01-04,1256.9,13.980756848911344
ETHUSDT,2023-03-09,1437.32,2023-03-17,1789.27,24.486544402081655
ETHUSDT,2023-08-17,1681.49,2023-10-01,1733.79,3.1103366656953035
ETHUSDT,2024-04-13,3007.01,2024-05-20,3661.78,21.77478624946375
ETHUSDT,2024-07-04,3059.7,2024-09-20,2561.4,-16.28591038337091
FILUSDT,2022-05-11,8.62,2022-07-18,5.94,-31.090487238979108
FILUSDT,2022-08-19,6.46,2022-10-29,5.72,-11.45510835913313
FILUSDT,2022-11-09,4.14,2022-12-02,4.64,12.077294685990339
FILUSDT,2022-12-16,3.018,2023-01-04,3.357,11.23260437375747
FILUSDT,2023-05-08,4.535,2023-05-28,4.66,2.7563395810363835
FILUSDT,2023-06-10,3.485,2023-07-03,4.734,35.83931133428982
FILUSDT,2023-08-17,3.438,2023-10-01,3.465,0.7853403141361166
FILUSDT,2024-04-12,6.608,2024-08-23,4.225,-36.062348668280876
FILUSDT,2024-12-19,5.084,2025-01-06,5.986,17.74193548387097
FTMUSDT,2022-05-11,0.3067,2022-07-18,0.2963,-3.3909357678513095
FTMUSDT,2022-09-18,0.224,2022-10-28,0.2249,0.4017857142857072
FTMUSDT,2023-05-08,0.3634,2023-09-30,0.1993,-45.15685195376995
FTMUSDT,2024-04-13,0.6657,2024-05-15,0.759,14.01532221721497
FTMUSDT,2024-06-11,0.633,2024-08-21,0.4583,-27.598736176935233
FTMUSDT,2024-11-04,0.546,2024-11-11,0.8369,53.27838827838826
GRTUSDT,2022-05-11,0.1523,2022-07-18,0.11,-27.774130006565983
GRTUSDT,2022-11-09,0.0582,2022-12-10,0.0723,24.226804123711343
GRTUSDT,2022-12-16,0.0562,2023-01-07,0.0641,14.056939501779366
GRTUSDT,2023-03-09,0.1169,2023-04-10,0.1535,31.30881094952951
GRTUSDT,2023-05-08,0.1172,2023-05-30,0.1316,12.286689419795218
GRTUSDT,2023-08-17,0.0882,2023-10-23,0.091,3.174603174603171
GRTUSDT,2024-04-12,0.2685,2024-05-20,0.3385,26.0707635009311
GRTUSDT,2024-07-04,0.176,2024-08-23,0.1705,-3.124999999999987
GRTUSDT,2024-12-19,0.2107,2025-01-14,0.1979,-6.074988134788803
ICPUSDT,2022-05-11,7.45,2022-06-02,9.44,26.711409395973146
ICPUSDT,2022-08-18,6.88,2022-09-09,7.1,3.197674418604648
ICPUSDT,2022-10-10,5.32,2022-10-29,5.41,1.6917293233082678
ICPUSDT,2022-11-08,4.358,2022-12-02,4.282,-1.7439192290041219
ICPUSDT,2022-12-16,3.559,2023-01-09,4.246,19.303175049171124
ICPUSDT,2023-06-10,3.69,2023-09-29,3.142,-14.850948509485097
ICPUSDT,2024-03-19,10.917,2024-03-25,17.655,61.7202528167079
ICPUSDT,2024-04-12,13.921,2024-07-15,9.72,-30.17742978234321
ICPUSDT,2024-08-03,7.76,2024-08-22,8.032,3.5051546391752613
ICPUSDT,2024-12-19,10.149,2025-01-14,9.89,-2.551975564094971
KAVAUSDT,2022-05-11,1.917,2022-07-19,1.951,1.7736045905060005
KAVAUSDT,2022-11-08,1.158,2023-01-14,0.841,-27.374784110535405
KAVAUSDT,2023-02-09,0.872,2023-03-12,0.991,13.646788990825687
KAVAUSDT,2023-06-10,0.804,2023-06-25,1.12,39.30348258706468
KAVAUSDT,2023-08-16,0.728,2023-10-25,0.643,-11.675824175824172
KAVAUSDT,2024-04-12,0.78,2024-08-23,0.3664,-53.02564102564102
KLAYUSDT,2022-04-11,0.988,2022-07-18,0.252,-74.49392712550608
KLAYUSDT,2022-08-19,0.2344,2022-10-24,0.2216,-5.460750853242324
KLAYUSDT,2022-12-16,0.1543,2023-01-09,0.1707,10.628645495787428
KLAYUSDT,2023-05-09,0.2022,2023-10-07,0.1196,-40.85064292779426
KLAYUSDT,2024-01-03,0.2033,2024-02-09,0.2128,4.6728971962616725
KLAYUSDT,2024-04-12,0.2022,2024-06-01,0.2137,5.687438180019788
LINKUSDT,2022-05-11,6.95,2022-06-06,7.97,14.67625899280575
LINKUSDT,2022-12-16,5.893,2023-01-11,6.284,6.634990666892924
LINKUSDT,2023-06-10,5.233,2023-07-13,7.124,36.13605962163196
LINKUSDT,2023-08-17,6.189,2023-09-07,6.387,3.199224430441097
LINKUSDT,2024-03-19,16.805,2024-05-16,15.516,-7.670336209461468
LINKUSDT,2024-08-04,10.88,2024-08-23,12.05,10.753676470588234
LTCUSDT,2022-05-11,66.6,2022-07-18,58.6,-12.012012012012002
